KD_OBAT,TGL,qty
AI-0095,2015-02-16,22
AI-0095,2015-02-23,79
AI-0095,2015-03-02,38
AI-0095,2015-03-09,6
AI-0095,2015-03-16,40
AI-0095,2015-03-23,48
AI-0095,2015-03-30,17
AI-0095,2015-04-06,16
AI-0095,2015-04-13,37
AI-0095,2015-04-20,82
AI-0095,2015-04-27,15
AI-0095,2015-05-04,29
AI-0095,2015-05-11,5
AI-0095,2015-05-18,58
AI-0095,2015-05-25,46
AI-0095,2015-06-01,55
AI-0095,2015-06-08,17
AI-0095,2015-06-15,95
AI-0095,2015-06-22,50
AI-0095,2015-06-29,50
AI-0095,2015-07-06,70
AI-0095,2015-07-13,10
AI-0095,2015-07-20,60
AI-0095,2015-07-27,3
AI-0095,2015-08-03,80
AI-0095,2015-08-10,55
AI-0095,2015-08-17,31
AI-0095,2015-08-24,70
AI-0095,2015-08-31,75
AI-0095,2015-09-07,50
AI-0095,2015-09-14,60
AI-0095,2015-09-21,110
AI-0095,2015-09-28,181
AI-0095,2015-10-05,97
AI-0095,2015-10-12,35
AI-0095,2015-10-19,88
AI-0095,2015-10-26,112
AI-0095,2015-11-02,83
AI-0095,2015-11-09,58
AI-0095,2015-11-16,89
AI-0095,2015-11-23,28
AI-0095,2015-11-30,115
AI-0095,2015-12-07,50
AI-0095,2015-12-21,39
AI-0095,2015-12-28,10
AI-0096,2014-12-29,1
AI-0096,2015-01-05,4
AI-0096,2015-01-12,3
AI-0096,2015-01-19,1
AI-0096,2015-01-26,4
AI-0096,2015-02-02,6
AI-0096,2015-02-09,7
AI-0096,2015-02-16,2
AI-0096,2015-02-23,5
AI-0096,2015-03-02,10
AI-0096,2015-03-09,3
AI-0096,2015-03-23,2
AI-0096,2015-03-30,4
AI-0096,2015-04-06,5
AI-0096,2015-04-13,12
AI-0096,2015-04-20,1
AI-0096,2015-04-27,9
AI-0096,2015-05-04,4
AI-0096,2015-05-11,10
AI-0096,2015-05-18,12
AI-0096,2015-06-01,6
AI-0096,2015-06-08,4
AI-0096,2015-06-15,6
AI-0096,2015-06-22,6
AI-0096,2015-06-29,3
AI-0096,2015-07-06,3
AI-0096,2015-07-13,10
AI-0096,2015-07-20,2
AI-0096,2015-07-27,2
AI-0096,2015-08-03,11
AI-0096,2015-08-10,3
AI-0096,2015-08-17,7
AI-0096,2015-08-24,3
AI-0096,2015-08-31,8
AI-0096,2015-09-07,4
AI-0096,2015-09-14,6
AI-0096,2015-09-21,6
AI-0096,2015-09-28,6
AI-0096,2015-10-05,3
AI-0096,2015-10-12,5
AI-0096,2015-10-19,8
AI-0096,2015-11-02,3
AI-0096,2015-11-09,5
AI-0096,2015-11-16,2
AI-0096,2015-11-23,5
AI-0096,2015-12-07,6
AI-0096,2015-12-14,2
AI-0096,2015-12-21,1
AI-0097,2014-12-29,80
AI-0097,2015-01-05,307
AI-0097,2015-01-12,433
AI-0097,2015-01-19,566
AI-0097,2015-01-26,400
AI-0097,2015-02-02,920
AI-0097,2015-02-09,713
AI-0097,2015-02-16,845
AI-0097,2015-02-23,643
AI-0097,2015-03-02,689
AI-0097,2015-03-09,785
AI-0097,2015-03-16,558
AI-0097,2015-03-23,697
AI-0097,2015-03-30,957
AI-0097,2015-04-06,1118
AI-0097,2015-04-13,1225
AI-0097,2015-04-20,3714
AI-0097,2015-04-27,1396
AI-0097,2015-05-04,1491
AI-0097,2015-05-11,987
AI-0097,2015-05-18,1393
AI-0097,2015-05-25,1217
AI-0097,2015-06-01,1955
AI-0097,2015-06-08,1479
AI-0097,2015-06-15,1818
AI-0097,2015-06-22,1539
AI-0097,2015-06-29,1586
AI-0097,2015-07-06,1495
AI-0097,2015-07-13,1719
AI-0097,2015-07-20,1499
AI-0097,2015-07-27,88
AI-0097,2015-08-03,2605
AI-0097,2015-08-10,2123
AI-0097,2015-08-17,1947
AI-0097,2015-08-24,1455
AI-0097,2015-08-31,2352
AI-0097,2015-09-07,2125
AI-0097,2015-09-14,2381
AI-0097,2015-09-21,2376
AI-0097,2015-09-28,3731
AI-0097,2015-10-05,2088
AI-0097,2015-10-12,2437
AI-0097,2015-10-19,2402
AI-0097,2015-10-26,3105
AI-0097,2015-11-02,2327
AI-0097,2015-11-09,2498
AI-0097,2015-11-16,2423
AI-0097,2015-11-23,2584
AI-0097,2015-11-30,4229
AI-0097,2015-12-07,3037
